month,AVAV(src),DAL(src),EUAD(src),HEI(src),KTOS(src),RTX(src),TDG(src)
2025-07,267.38,52.8,41.48,326.35,58.74,155.16,1407.45
2025-08,241.17,61.26,41.93,312.08,65.85,156.79,1225.65
2025-09,315.44,56.28,46.78,322.49,91.36,165.43,1316.25
2025-10,369.68,57.09,44.05,317.48,90.58,176.71,1308.16
2025-11,279.32,63.77,40.22,316.71,76.1,173.47,1358.89
2025-12,241.79,69.03,42.12,323.19,75.84,182.05,1330.2
2026-01,278.34,65.53,45.67,331.02,102.95,198.98,1428.38
2026-02,252.61,65.53,46.62,319.6,86.24,201.7,1303.45
2026-03,183.12,66.34,40.81,274.09,70.5,192.01,1159.34
2026-04,195.01,67.85,40.83,269.77,63.06,175.37,1160.33
2026-05,207.33,82.52,42.56,348.03,64.14,179.63,1258.84
2026-06,165.03,93.68,42.19,355.95,49.85,189.69,1331.72
2026-07,190.97,92.78,44.33,362.11,55.34,199.22,1349.8
