month,AMH(src),BLDR(src),DHI(src),ESNT(src),FNF(src),HD(src),ICE(src),INVH(src),LEN(src),MTG(src)
2025-07,33.35,127.18,141.09,54.73,52.38,358.12,182.54,29.36,110.58,25.32
2025-08,34.41,138.62,168.0,61.68,55.58,396.27,174.35,29.98,131.23,27.36
2025-09,32.24,121.26,168.02,62.5,56.63,396.99,166.81,28.36,124.31,27.89
2025-10,30.61,116.22,147.81,59.55,51.69,371.7,144.8,27.25,122.58,26.96
2025-11,31.15,112.23,158.07,61.71,55.65,349.58,155.78,27.26,130.01,28.03
2025-12,31.42,102.91,143.22,64.22,53.41,339.2,160.88,27.19,101.75,28.89
2026-01,30.65,114.45,147.97,62.18,53.21,369.31,172.62,26.15,108.22,26.62
2026-02,29.35,104.21,159.96,60.12,51.72,375.57,163.18,25.76,113.7,26.4
2026-03,27.62,82.33,136.73,58.03,45.88,326.27,156.65,24.6,86.37,26.11
2026-04,31.53,79.1,153.45,60.12,51.74,326.44,157.46,28.48,90.3,26.33
2026-05,31.77,76.28,147.03,57.56,46.86,314.84,147.24,28.95,89.78,25.21
2026-06,33.54,89.43,162.86,64.3,47.15,352.67,123.14,30.22,90.5,28.2
2026-07,34.06,84.69,158.49,64.77,48.84,357.78,132.97,30.52,88.22,28.23
